area_name,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Greater Manchester,2020-05-03,84,68,98,76,88,1
Greater Manchester,2020-05-04,81,65,95,73,85,1
Greater Manchester,2020-05-05,79,65,93,71,82,1
Greater Manchester,2020-05-06,78,63,92,70,82,1
Greater Manchester,2020-05-07,76,63,91,69,80,1
Greater Manchester,2020-05-08,74,59,87,65,77,1
Greater Manchester,2020-05-09,72,56,84,65,76,1
Greater Manchester,2020-05-10,69,56,85,61,73,1
Greater Manchester,2020-05-11,66,52,79,58,69,1
Greater Manchester,2020-05-12,65,49,77,57,68,1
Greater Manchester,2020-05-13,61,47,73,54,64,1
Greater Manchester,2020-05-14,57,44,69,48,59,1
Greater Manchester,2020-05-15,53,41,65,49,58,1
Greater Manchester,2020-05-16,50,37,61,44,53,1
Greater Manchester,2020-05-17,46,35,56,39,48,1
Greater Manchester,2020-05-18,43,30,52,36,45,1
Greater Manchester,2020-05-19,40,29,49,35,43,1
Greater Manchester,2020-05-20,38,27,47,34,41,1
Greater Manchester,2020-05-21,37,27,46,31,39,1
Greater Manchester,2020-05-22,36,26,45,29,37,0.99
Greater Manchester,2020-05-23,35,23,43,29,37,0.99
Greater Manchester,2020-05-24,34,25,43,28,35,0.99
Greater Manchester,2020-05-25,33,22,41,29,36,0.99
Greater Manchester,2020-05-26,32,23,41,28,35,0.98
Greater Manchester,2020-05-27,32,23,41,28,35,0.98
Greater Manchester,2020-05-28,32,21,40,25,33,0.97
Greater Manchester,2020-05-29,31,21,39,26,33,0.96
Greater Manchester,2020-05-30,31,21,39,25,32,0.95
Greater Manchester,2020-05-31,30,20,38,26,33,0.93
Greater Manchester,2020-06-01,30,21,39,25,32,0.91
Greater Manchester,2020-06-02,31,22,40,26,33,0.89
Greater Manchester,2020-06-03,32,22,42,25,33,0.86
Greater Manchester,2020-06-04,33,21,43,27,35,0.81
